parenttype	parentname	name	value	index	id
block	PracticeEng	correct	1	-1	19
block	PracticeEng	correctcount	1	-1	20
block	PracticeEng	correctstreak	1	-1	21
block	PracticeEng	count	0	-1	22
block	PracticeEng	currentblocknumber	1	-1	26
block	PracticeEng	currenttrialnumber	12	-1	36
block	PracticeEng	elapsedtime	14099	-1	40
block	PracticeEng	error	0	-1	49
block	PracticeEng	errorcount	-1	-1	50
block	PracticeEng	errorstreak	0	-1	51
block	PracticeEng	inwindow	0	-1	68
block	PracticeEng	inwindowcount	0	-1	69
block	PracticeEng	inwindowstreak	0	-1	70
block	PracticeEng	latency	0	-1	87
block	PracticeEng	maxlatency	984	-1	94
block	PracticeEng	meanlatency	458.1818181818181869858	-1	98
block	PracticeEng	medianlatency	484	-1	101
block	PracticeEng	minlatency	0	-1	104
block	PracticeEng	name	PracticeEng	-1	110
block	PracticeEng	next	block.PracticeEng	-1	113
block	PracticeEng	notinwindow	1	-1	117
block	PracticeEng	notinwindowcount	0	-1	118
block	PracticeEng	notinwindowstreak	11	-1	119
block	PracticeEng	numcorrect	1	-1	120
block	PracticeEng	numinwindow	0	-1	121
block	PracticeEng	percentcorrect	9	-1	131
block	PracticeEng	percentinwindow	0	-1	132
block	PracticeEng	recorddata	0	-1	138
block	PracticeEng	response	0	-1	144
block	PracticeEng	responsex	-1	-1	146
block	PracticeEng	responsey	-1	-1	147
block	PracticeEng	screencapture	0	-1	150
block	PracticeEng	screencolor	4278190080	-1	151
block	PracticeEng	screencolorblue	0	-1	152
block	PracticeEng	screencolorgreen	0	-1	153
block	PracticeEng	screencolorred	0	-1	154
block	PracticeEng	sdlatency	374.0887109180970924172	-1	155
block	PracticeEng	selectedcount	3	-1	158
block	PracticeEng	showmousecursor	0	-1	164
block	PracticeEng	sumlatency	5040	-1	178
block	PracticeEng	timeout	0	-1	189
block	PracticeEng	totalcorrectcount	1	-1	192
block	PracticeEng	totalcount	0	-1	193
block	PracticeEng	totalerrorcount	-1	-1	194
block	PracticeEng	totalinwindowcount	0	-1	195
block	PracticeEng	totalmaxlatency	984	-1	196
block	PracticeEng	totalmeanlatency	458.1818181818181869858	-1	197
block	PracticeEng	totalmedianlatency	484	-1	198
block	PracticeEng	totalminlatency	0	-1	199
block	PracticeEng	totalnumcorrect	1	-1	201
block	PracticeEng	totalnuminwindow	0	-1	202
block	PracticeEng	totalpercentcorrect	9	-1	203
block	PracticeEng	totalpercentinwindow	0	-1	204
block	PracticeEng	totalsdlatency	374.0887109180970924172	-1	205
block	PracticeEng	totalsumlatency	5040	-1	206
block	PracticeEng	totaltrialcount	11	-1	207
block	PracticeEng	totalvarlatency	139942.363636363617843017	-1	208
block	PracticeEng	trialcount	11	-1	210
block	PracticeEng	trialscount	10	-1	212
block	PracticeEng	typename	block	-1	213
block	PracticeEng	unselectedcount	4	-1	214
block	PracticeEng	varlatency	139942.363636363617843017	-1	216
block	PracticeEng	windowcenter	0	-1	222
block	PracticeEng	windowdecthreshold	0	-1	224
block	PracticeEng	windowdecunit	33	-1	223
block	PracticeEng	windowhitduration	0	-1	225
block	PracticeEng	windowincthreshold	0	-1	227
block	PracticeEng	windowincunit	33	-1	226
block	PracticeEng	windowmaxcenter	0	-1	228
