parenttype	parentname	name	value	index	id
block	practice	correct	0	-1	19
block	practice	correctcount	0	-1	20
block	practice	correctstreak	0	-1	21
block	practice	count	0	-1	22
block	practice	currentblocknumber	1	-1	26
block	practice	currenttrialnumber	0	-1	36
block	practice	elapsedtime	16	-1	40
block	practice	error	0	-1	49
block	practice	errorcount	0	-1	50
block	practice	errorstreak	0	-1	51
block	practice	inwindow	0	-1	68
block	practice	inwindowcount	0	-1	69
block	practice	inwindowstreak	0	-1	70
block	practice	latency	0	-1	87
block	practice	maxlatency	0	-1	94
block	practice	meanlatency	0	-1	98
block	practice	medianlatency	0	-1	101
block	practice	minlatency	0	-1	104
block	practice	name	practice	-1	110
block	practice	next		-1	113
block	practice	notinwindow	1	-1	117
block	practice	notinwindowcount	0	-1	118
block	practice	notinwindowstreak	0	-1	119
block	practice	numcorrect	0	-1	120
block	practice	numinwindow	0	-1	121
block	practice	percentcorrect	0	-1	131
block	practice	percentinwindow	0	-1	132
block	practice	recorddata	1	-1	138
block	practice	response		-1	144
block	practice	responsex	-1	-1	146
block	practice	responsey	-1	-1	147
block	practice	screencapture	0	-1	150
block	practice	screencolor	4278190080	-1	151
block	practice	screencolorblue	0	-1	152
block	practice	screencolorgreen	0	-1	153
block	practice	screencolorred	0	-1	154
block	practice	sdlatency	0	-1	155
block	practice	selectedcount	0	-1	158
block	practice	showmousecursor	0	-1	164
block	practice	sumlatency	0	-1	178
block	practice	timeout	0	-1	189
block	practice	totalcorrectcount	0	-1	192
block	practice	totalcount	0	-1	193
block	practice	totalerrorcount	0	-1	194
block	practice	totalinwindowcount	0	-1	195
block	practice	totalmaxlatency	0	-1	196
block	practice	totalmeanlatency	0	-1	197
block	practice	totalmedianlatency	0	-1	198
block	practice	totalminlatency	0	-1	199
block	practice	totalnumcorrect	0	-1	201
block	practice	totalnuminwindow	0	-1	202
block	practice	totalpercentcorrect	0	-1	203
block	practice	totalpercentinwindow	0	-1	204
block	practice	totalsdlatency	0	-1	205
block	practice	totalsumlatency	0	-1	206
block	practice	totaltrialcount	0	-1	207
block	practice	totalvarlatency	0	-1	208
block	practice	trialcount	0	-1	210
block	practice	trialscount	1	-1	212
block	practice	typename	block	-1	213
block	practice	unselectedcount	2	-1	214
block	practice	varlatency	0	-1	216
block	practice	windowcenter	0	-1	222
block	practice	windowdecthreshold	0	-1	224
block	practice	windowdecunit	33	-1	223
block	practice	windowhitduration	0	-1	225
block	practice	windowincthreshold	0	-1	227
block	practice	windowincunit	33	-1	226
block	practice	windowmaxcenter	0	-1	228
block	practice	windowmincenter	0	-1	229
block	practice	windowonset	0	-1	231
block	practice	windowwidth	0	-1	232
block	temp	correct	0	-1	19
block	temp	correctcount	0	-1	20
block	temp	correctstreak	0	-1	21
block	temp	count	0	-1	22
block	temp	currentblocknumber	0	-1	26
block	temp	currenttrialnumber	0	-1	36
block	temp	elapsedtime	227060586	-1	40
block	temp	error	0	-1	49
block	temp	errorcount	0	-1	50
block	temp	errorstreak	0	-1	51
block	temp	inwindow	0	-1	68
block	temp	inwindowcount	0	-1	69
block	temp	inwindowstreak	0	-1	70
block	temp	latency	0	-1	87
block	temp	maxlatency	0	-1	94
block	temp	meanlatency	0	-1	98
block	temp	medianlatency	0	-1	101
block	temp	minlatency	0	-1	104
block	temp	name	temp.38	-1	110
block	temp	next		-1	113
block	temp	notinwindow	1	-1	117
block	temp	notinwindowcount	0	-1	118
block	temp	notinwindowstreak	0	-1	119
block	temp	numcorrect	0	-1	120
block	temp	numinwindow	0	-1	121
block	temp	percentcorrect	0	-1	131
block	temp	percentinwindow	0	-1	132
block	temp	recorddata	1	-1	138
block	temp	response		-1	144
block	temp	responsex	-1	-1	146
block	temp	responsey	-1	-1	147
block	temp	screencapture	0	-1	150
block	temp	screencolor	4278190080	-1	151
block	temp	screencolorblue	0	-1	152
block	temp	screencolorgreen	0	-1	153
block	temp	screencolorred	0	-1	154
block	temp	sdlatency	0	-1	155
block	temp	selectedcount	0	-1	158
block	temp	showmousecursor	0	-1	164
block	temp	sumlatency	0	-1	178
block	temp	timeout	0	-1	189
block	temp	totalcorrectcount	0	-1	192
block	temp	totalcount	0	-1	193
block	temp	totalerrorcount	0	-1	194
block	temp	totalinwindowcount	0	-1	195
block	temp	totalmaxlatency	0	-1	196
block	temp	totalmeanlatency	0	-1	197
block	temp	totalmedianlatency	0	-1	198
block	temp	totalminlatency	0	-1	199
block	temp	totalnumcorrect	0	-1	201
block	temp	totalnuminwindow	0	-1	202
block	temp	totalpercentcorrect	0	-1	203
block	temp	totalpercentinwindow	0	-1	204
block	temp	totalsdlatency	0	-1	205
block	temp	totalsumlatency	0	-1	206
block	temp	totaltrialcount	0	-1	207
block	temp	totalvarlatency	0	-1	208
block	temp	trialcount	0	-1	210
block	temp	trialscount	0	-1	212
block	temp	typename	block	-1	213
block	temp	unselectedcount	0	-1	214
block	temp	varlatency	0	-1	216
block	temp	windowcenter	0	-1	222
block	temp	windowdecthreshold	0	-1	224
block	temp	windowdecunit	33	-1	223
block	temp	windowhitduration	0	-1	225
block	temp	windowincthreshold	0	-1	227
block	temp	windowincunit	33	-1	226
block	temp	windowmaxcenter	0	-1	228
block	temp	windowmincenter	0	-1	229
block	temp	windowonset	0	-1	231
block	temp	windowwidth	0	-1	232
block	test	correct	0	-1	19
block	test	correctcount	0	-1	20
block	test	correctstreak	0	-1	21
block	test	count	0	-1	22
block	test	currentblocknumber	0	-1	26
block	test	currenttrialnumber	0	-1	36
block	test	elapsedtime	227060586	-1	40
block	test	error	0	-1	49
block	test	errorcount	0	-1	50
block	test	errorstreak	0	-1	51
block	test	inwindow	0	-1	68
block	test	inwindowcount	0	-1	69
block	test	inwindowstreak	0	-1	70
block	test	latency	0	-1	87
block	test	maxlatency	0	-1	94
block	test	meanlatency	0	-1	98
block	test	medianlatency	0	-1	101
block	test	minlatency	0	-1	104
block	test	name	test	-1	110
block	test	next		-1	113
block	test	notinwindow	1	-1	117
block	test	notinwindowcount	0	-1	118
block	test	notinwindowstreak	0	-1	119
block	test	numcorrect	0	-1	120
block	test	numinwindow	0	-1	121
block	test	percentcorrect	0	-1	131
block	test	percentinwindow	0	-1	132
block	test	recorddata	1	-1	138
block	test	response		-1	144
block	test	responsex	-1	-1	146
block	test	responsey	-1	-1	147
block	test	screencapture	0	-1	150
block	test	screencolor	4278190080	-1	151
block	test	screencolorblue	0	-1	152
block	test	screencolorgreen	0	-1	153
block	test	screencolorred	0	-1	154
block	test	sdlatency	0	-1	155
block	test	selectedcount	0	-1	158
block	test	showmousecursor	0	-1	164
block	test	sumlatency	0	-1	178
block	test	timeout	0	-1	189
block	test	totalcorrectcount	0	-1	192
block	test	totalcount	0	-1	193
block	test	totalerrorcount	0	-1	194
block	test	totalinwindowcount	0	-1	195
block	test	totalmaxlatency	0	-1	196
block	test	totalmeanlatency	0	-1	197
block	test	totalmedianlatency	0	-1	198
block	test	totalminlatency	0	-1	199
block	test	totalnumcorrect	0	-1	201
block	test	totalnuminwindow	0	-1	202
block	test	totalpercentcorrect	0	-1	203
block	test	totalpercentinwindow	0	-1	204
block	test	totalsdlatency	0	-1	205
block	test	totalsumlatency	0	-1	206
block	test	totaltrialcount	0	-1	207
block	test	totalvarlatency	0	-1	208
block	test	trialcount	0	-1	210
block	test	trialscount	1	-1	212
block	test	typename	block	-1	213
block	test	unselectedcount	2	-1	214
block	test	varlatency	0	-1	216
block	test	windowcenter	0	-1	222
block	test	windowdecthreshold	0	-1	224
block	test	windowdecunit	33	-1	223
block	test	windowhitduration	0	-1	225
block	test	windowincthreshold	0	-1	227
block	test	windowincunit	33	-1	226
block	test	windowmaxcenter	0	-1	228
block	test	windowmincenter	0	-1	229
block	test	windowonset	0	-1	231
block	test	windowwidth	0	-1	232
counter	b_htarget	item	1	-1	72
counter	b_htarget	item.1	20pct	1	72
counter	b_htarget	item.10	20pct	10	72
counter	b_htarget	item.11	20pct	11	72
counter	b_htarget	item.12	20pct	12	72
counter	b_htarget	item.13	20pct	13	72
counter	b_htarget	item.2	50pct	2	72
counter	b_htarget	item.3	80pct	3	72
counter	b_htarget	item.4	20pct	4	72
counter	b_htarget	item.5	50pct	5	72
counter	b_htarget	item.6	50pct	6	72
counter	b_htarget	item.7	20pct	7	72
counter	b_htarget	item.8	20pct	8	72
counter	b_htarget	item.9	50pct	9	72
counter	b_htarget	currentindex	1	-1	29
counter	b_htarget	currentitem	1	-1	30
counter	b_htarget	currentitemnumber	1	-1	31
counter	b_htarget	currentvalue	1	-1	37
counter	b_htarget	item	1	-1	72
counter	b_htarget	item.1	20pct	1	72
counter	b_htarget	item.10	20pct	10	72
counter	b_htarget	item.11	20pct	11	72
counter	b_htarget	item.12	20pct	12	72
counter	b_htarget	item.13	20pct	13	72
counter	b_htarget	item.2	50pct	2	72
counter	b_htarget	item.3	80pct	3	72
counter	b_htarget	item.4	20pct	4	72
counter	b_htarget	item.5	50pct	5	72
counter	b_htarget	item.6	50pct	6	72
counter	b_htarget	item.7	20pct	7	72
counter	b_htarget	item.8	20pct	8	72
counter	b_htarget	item.9	50pct	9	72
counter	b_htarget	itemcount	13	-1	73
counter	b_htarget	name	b_htarget	-1	110
counter	b_htarget	nextindex	0	-1	114
counter	b_htarget	nextvalue		-1	116
counter	b_htarget	selectedcount	0	-1	158
counter	b_htarget	selectedindex	0	-1	159
counter	b_htarget	selectedvalue		-1	160
counter	b_htarget	selectionmode	2	-1	162
counter	b_htarget	selectionrate	-1	-1	161
counter	b_htarget	typename	counter	-1	213
counter	b_htarget	unselectedcount	13	-1	214
counter	b_vtarget	item	1	-1	72
counter	b_vtarget	item.1	65pct	1	72
counter	b_vtarget	item.10	50pct	10	72
counter	b_vtarget	item.11	65pct	11	72
counter	b_vtarget	item.12	80pct	12	72
counter	b_vtarget	item.13	80pct	13	72
counter	b_vtarget	item.2	80pct	2	72
counter	b_vtarget	item.3	80pct	3	72
counter	b_vtarget	item.4	65pct	4	72
counter	b_vtarget	item.5	65pct	5	72
counter	b_vtarget	item.6	80pct	6	72
counter	b_vtarget	item.7	80pct	7	72
counter	b_vtarget	item.8	65pct	8	72
counter	b_vtarget	item.9	65pct	9	72
counter	b_vtarget	currentindex	1	-1	29
counter	b_vtarget	currentitem	1	-1	30
counter	b_vtarget	currentitemnumber	1	-1	31
counter	b_vtarget	currentvalue	1	-1	37
counter	b_vtarget	item	1	-1	72
counter	b_vtarget	item.1	65pct	1	72
counter	b_vtarget	item.10	50pct	10	72
counter	b_vtarget	item.11	65pct	11	72
counter	b_vtarget	item.12	80pct	12	72
counter	b_vtarget	item.13	80pct	13	72
counter	b_vtarget	item.2	80pct	2	72
counter	b_vtarget	item.3	80pct	3	72
counter	b_vtarget	item.4	65pct	4	72
