date	time	subject	trialcode	latency	response	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscore	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
111112	11:12:13	1	choice	21969	R	0	1	2	0	-2	R	0	0	0	22052	0	0	92459	114511
111112	11:12:13	1	choice	1709	B	0	1	2	1	-1	R3B	0	0	0	22052	0	0	117135	118863
111112	11:12:13	1	feedback	112	0	0	1	2	2	0	R3B1	1	3	3	22052	6392	28444	117135	118863
111112	11:12:13	1	choice	21567	R	1	1	2	0	-2	R	0	0	0	21617	0	0	135437	157054
111112	11:12:13	1	choice	1353	G	1	1	2	1	-1	R3G	0	0	0	21617	0	0	157886	159254
111112	11:12:13	1	feedback	103	0	1	1	2	2	0	R3G2	1	3	3	21617	3040	24657	157886	159254
111112	11:12:13	1	choice	9575	B	2	1	2	0	-2	B	0	0	3	9605	0	0	163096	172701
111112	11:12:13	1	choice	783	R	2	1	2	1	-1	B3R	0	0	3	9605	0	0	174310	175109
111112	11:12:13	1	feedback	140	0	2	1	2	2	0	B3R2	1	3	6	9605	4873	14478	174310	175109
111112	11:12:13	1	choice	14393	B	3	1	3	0	-3	B	0	0	6	14437	0	0	180576	195013
111112	11:12:13	1	choice	862	R	3	1	3	1	-2	B3R	0	0	6	14437	0	0	196461	197349
111112	11:12:13	1	choice	807	B	3	1	3	2	-1	B3R2B	0	0	6	14437	0	0	198109	198933
111112	11:12:13	1	feedback	150	0	3	1	3	3	0	B3R2B1	1	3	9	14437	4840	19277	198109	198933
111112	11:12:13	1	choice	8745	B	4	1	3	0	-3	B	0	0	9	8789	0	0	202856	211645
111112	11:12:13	1	choice	3217	R	4	1	3	1	-2	B3R	0	0	9	8789	0	0	214645	217877
111112	11:12:13	1	choice	1260	B	4	1	3	2	-1	B3R2B	0	0	9	8789	0	0	219173	220453
111112	11:12:13	1	feedback	123	0	4	1	3	3	0	B3R2B2	1	3	12	8789	10336	19125	219173	220453
111112	11:12:13	1	choice	9817	R	5	1	4	0	-4	R	0	0	12	9853	0	0	224983	234836
111112	11:12:13	1	choice	1025	G	5	1	4	1	-3	R3G	0	0	12	9853	0	0	235757	236804
111112	11:12:13	1	choice	777	R	5	1	4	2	-2	R3G2R	0	0	12	9853	0	0	237845	238636
111112	11:12:13	1	choice	619	G	5	1	4	3	-1	R3G2R1G	0	0	12	9853	0	0	239534	240172
111112	11:12:13	1	feedback	102	0	5	1	4	4	0	R3G2R1G1	1	3	15	9853	6233	16086	239534	240172
111112	11:12:13	1	choice	16009	B	6	1	4	0	-4	B	0	0	15	16037	0	0	244071	260108
111112	11:12:13	1	choice	934	R	6	1	4	1	-3	B3R	0	0	15	16037	0	0	260900	261860
111112	11:12:13	1	choice	1012	G	6	1	4	2	-2	B3R2G	0	0	15	16037	0	0	264292	265324
111112	11:12:13	1	choice	809	B	6	1	4	3	-1	B3R2G2B	0	0	15	16037	0	0	266116	266948
111112	11:12:13	1	feedback	105	0	6	1	4	4	0	B3R2G2B1	1	3	18	16037	7931	23968	266116	266948
111112	11:12:13	1	choice	13595	R	7	1	4	0	-4	R	0	0	18	13625	0	0	271042	284667
111112	11:12:13	1	choice	699	G	7	1	4	1	-3	R2G	0	0	18	13625	0	0	285540	286251
111112	11:12:13	1	choice	688	R	7	1	4	2	-2	R2G3R	0	0	18	13625	0	0	287196	287907
111112	11:12:13	1	choice	768	B	7	1	4	3	-1	R2G3R1B	0	0	18	13625	0	0	288596	289387
111112	11:12:13	1	feedback	113	0	7	1	4	4	0	R2G3R1B1	1	3	21	13625	5448	19073	288596	289387
111112	11:12:13	1	choice	9811	R	8	1	4	0	-4	R	0	0	21	9845	0	0	293118	302963
111112	11:12:13	1	choice	5509	resetround	8	1	4	1	-3	R2resetround	0	0	21	9845	0	0	303907	309688
111112	11:12:13	1	choice	110625	B	8	2	4	0	-4	B	0	0	21	110644	0	0	310693	421337
111112	11:12:13	1	choice	1303	R	8	2	4	1	-3	B3R	0	0	21	110644	0	0	422193	423520
111112	11:12:13	1	choice	778	B	8	2	4	2	-2	B3R2B	0	0	21	110644	0	0	425657	426448
111112	11:12:13	1	choice	703	G	8	2	4	3	-1	B3R2B2G	0	0	21	110644	0	0	427521	428240
111112	11:12:13	1	feedback	111	0	8	2	4	4	0	B3R2B2G3	1	2	23	110644	8536	119180	427521	428240
111112	11:12:13	1	choice	30521	R	9	1	5	0	-5	R	0	0	23	30556	0	0	432875	463431
111112	11:12:13	1	choice	735	G	9	1	5	1	-4	R2G	0	0	23	30556	0	0	464112	464871
111112	11:12:13	1	choice	855	R	9	1	5	2	-3	R2G3R	0	0	23	30556	0	0	465720	466591
111112	11:12:13	1	choice	1041	G	9	1	5	3	-2	R2G3R1G	0	0	23	30556	0	0	467408	468471
111112	11:12:13	1	choice	705	B	9	1	5	4	-1	R2G3R1G1B	0	0	23	30556	0	0	469336	470056
111112	11:12:13	1	feedback	97	0	9	1	5	5	0	R2G3R1G1B1	1	3	26	30556	7385	37941	469336	470056
111112	11:12:13	1	choice	20771	R	10	1	5	0	-5	R	0	0	26	20797	0	0	473818	494615
111112	11:12:13	1	choice	2564	G	10	1	5	1	-4	R2G	0	0	26	20797	0	0	496023	498607
111112	11:12:13	1	choice	10296	resetround	10	1	5	2	-3	R2G3resetround	0	0	26	20797	0	0	500087	510659
111112	11:12:13	1	choice	21614	R	10	2	5	0	-5	R	0	0	26	21645	0	0	511665	533310
111112	11:12:13	1	choice	993	G	10	2	5	1	-4	R2G	0	0	26	21645	0	0	534134	535142
111112	11:12:13	1	choice	1006	R	10	2	5	2	-3	R2G3R	0	0	26	21645	0	0	535999	537022
111112	11:12:13	1	choice	769	B	10	2	5	3	-2	R2G3R1B	0	0	26	21645	0	0	538006	538798
111112	11:12:13	1	choice	937	G	10	2	5	4	-1	R2G3R1B1G	0	0	26	21645	0	0	539446	540406
111112	11:12:13	1	feedback	120	0	10	2	5	5	0	R2G3R1B1G1	1	2	28	21645	8264	29909	539446	540406
111112	11:12:13	1	choice	28293	B	11	1	5	0	-5	B	0	0	28	28332	0	0	544577	572909
111112	11:12:13	1	choice	1403	R	11	1	5	1	-4	B3R	0	0	28	28332	0	0	574182	575605
111112	11:12:13	1	choice	1123	G	11	1	5	2	-3	B3R2G	0	0	28	28332	0	0	576862	578005
111112	11:12:13	1	choice	1056	B	11	1	5	3	-2	B3R2G2B	0	0	28	28332	0	0	578926	580005
111112	11:12:13	1	choice	701	G	11	1	5	4	-1	B3R2G2B1G	0	0	28	28332	0	0	580990	581717
111112	11:12:13	1	feedback	101	0	11	1	5	5	0	B3R2G2B1G1	1	3	31	28332	9608	37940	580990	581717
111112	11:12:13	1	choice	22792	B	12	1	5	0	-5	B	0	0	31	22820	0	0	585520	608340
111112	11:12:13	1	choice	1221	R	12	1	5	1	-4	B3R	0	0	31	22820	0	0	609157	610396
111112	11:12:13	1	choice	984	G	12	1	5	2	-3	B3R2G	0	0	31	22820	0	0	611366	612372
111112	11:12:13	1	choice	704	B	12	1	5	3	-2	B3R2G2B	0	0	31	22820	0	0	613133	613852
111112	11:12:13	1	choice	776	G	12	1	5	4	-1	B3R2G2B1G	0	0	31	22820	0	0	614773	615564
111112	11:12:13	1	feedback	88	0	12	1	5	5	0	B3R2G2B1G3	1	3	34	22820	7945	30765	614773	615564
