parenttype	parentname	name	value	index	id
block	AudioCheckEng	correct	0	-1	20
block	AudioCheckEng	correctcount	0	-1	21
block	AudioCheckEng	correctstreak	0	-1	22
block	AudioCheckEng	count	0	-1	23
block	AudioCheckEng	currentblocknumber	0	-1	27
block	AudioCheckEng	currenttrialnumber	0	-1	37
block	AudioCheckEng	elapsedtime	369257601	-1	41
block	AudioCheckEng	error	0	-1	50
block	AudioCheckEng	errorcount	0	-1	51
block	AudioCheckEng	errorstreak	0	-1	52
block	AudioCheckEng	inwindow	0	-1	70
block	AudioCheckEng	inwindowcount	0	-1	71
block	AudioCheckEng	inwindowstreak	0	-1	72
block	AudioCheckEng	latency	0	-1	92
block	AudioCheckEng	maxlatency	0	-1	99
block	AudioCheckEng	meanlatency	0	-1	104
block	AudioCheckEng	medianlatency	0	-1	107
block	AudioCheckEng	minlatency	0	-1	110
block	AudioCheckEng	name	AudioCheckEng	-1	116
block	AudioCheckEng	next		-1	119
block	AudioCheckEng	notinwindow	1	-1	123
block	AudioCheckEng	notinwindowcount	0	-1	124
block	AudioCheckEng	notinwindowstreak	0	-1	125
block	AudioCheckEng	numcorrect	0	-1	126
block	AudioCheckEng	numinwindow	0	-1	127
block	AudioCheckEng	percentcorrect	0	-1	137
block	AudioCheckEng	percentinwindow	0	-1	138
block	AudioCheckEng	recorddata	1	-1	147
block	AudioCheckEng	response		-1	154
block	AudioCheckEng	responsex	-1	-1	156
block	AudioCheckEng	responsey	-1	-1	157
block	AudioCheckEng	screencapture	0	-1	160
block	AudioCheckEng	screencolor	4278190080	-1	161
block	AudioCheckEng	screencolorblue	0	-1	162
block	AudioCheckEng	screencolorgreen	0	-1	163
block	AudioCheckEng	screencolorred	0	-1	164
block	AudioCheckEng	sdlatency	0	-1	165
block	AudioCheckEng	selectedcount	0	-1	168
block	AudioCheckEng	showmousecursor	0	-1	174
block	AudioCheckEng	sumlatency	0	-1	188
block	AudioCheckEng	timeout	0	-1	199
block	AudioCheckEng	totalcorrectcount	0	-1	202
block	AudioCheckEng	totalcount	0	-1	203
block	AudioCheckEng	totalerrorcount	0	-1	204
block	AudioCheckEng	totalinwindowcount	0	-1	205
block	AudioCheckEng	totalmaxlatency	0	-1	206
block	AudioCheckEng	totalmeanlatency	0	-1	207
block	AudioCheckEng	totalmedianlatency	0	-1	208
block	AudioCheckEng	totalminlatency	0	-1	209
block	AudioCheckEng	totalnumcorrect	0	-1	211
block	AudioCheckEng	totalnuminwindow	0	-1	212
block	AudioCheckEng	totalpercentcorrect	0	-1	213
block	AudioCheckEng	totalpercentinwindow	0	-1	214
block	AudioCheckEng	totalsdlatency	0	-1	215
block	AudioCheckEng	totalsumlatency	0	-1	216
block	AudioCheckEng	totaltrialcount	0	-1	217
block	AudioCheckEng	totalvarlatency	0	-1	218
block	AudioCheckEng	trialcount	0	-1	220
block	AudioCheckEng	trialscount	3	-1	222
block	AudioCheckEng	typename	block	-1	223
block	AudioCheckEng	unselectedcount	0	-1	224
block	AudioCheckEng	varlatency	0	-1	226
block	AudioCheckEng	windowcenter	0	-1	232
block	AudioCheckEng	windowdecthreshold	0	-1	233
block	AudioCheckEng	windowdecunit	33	-1	234
block	AudioCheckEng	windowhitduration	0	-1	235
block	AudioCheckEng	windowincthreshold	0	-1	236
block	AudioCheckEng	windowincunit	33	-1	237
block	AudioCheckEng	windowmaxcenter	0	-1	238
block	AudioCheckEng	windowmincenter	0	-1	239
block	AudioCheckEng	windowonset	0	-1	241
block	AudioCheckEng	windowwidth	0	-1	242
block	AudioCheckFr	correct	0	-1	20
block	AudioCheckFr	correctcount	0	-1	21
block	AudioCheckFr	correctstreak	0	-1	22
block	AudioCheckFr	count	1	-1	23
block	AudioCheckFr	currentblocknumber	4	-1	27
block	AudioCheckFr	currenttrialnumber	4	-1	37
block	AudioCheckFr	elapsedtime	54470	-1	41
block	AudioCheckFr	error	1	-1	50
block	AudioCheckFr	errorcount	4	-1	51
block	AudioCheckFr	errorstreak	4	-1	52
block	AudioCheckFr	inwindow	0	-1	70
block	AudioCheckFr	inwindowcount	0	-1	71
block	AudioCheckFr	inwindowstreak	0	-1	72
block	AudioCheckFr	latency	1574	-1	92
block	AudioCheckFr	maxlatency	2965	-1	99
block	AudioCheckFr	meanlatency	1691.75	-1	104
block	AudioCheckFr	medianlatency	1901	-1	107
block	AudioCheckFr	minlatency	0	-1	110
block	AudioCheckFr	name	AudioCheckFr	-1	116
block	AudioCheckFr	next		-1	119
block	AudioCheckFr	notinwindow	1	-1	123
block	AudioCheckFr	notinwindowcount	4	-1	124
block	AudioCheckFr	notinwindowstreak	4	-1	125
block	AudioCheckFr	numcorrect	0	-1	126
block	AudioCheckFr	numinwindow	0	-1	127
block	AudioCheckFr	percentcorrect	0	-1	137
block	AudioCheckFr	percentinwindow	0	-1	138
block	AudioCheckFr	recorddata	1	-1	147
block	AudioCheckFr	response	Continue	-1	154
block	AudioCheckFr	responsex	1464	-1	156
block	AudioCheckFr	responsey	475	-1	157
block	AudioCheckFr	screencapture	0	-1	160
block	AudioCheckFr	screencolor	4278190080	-1	161
block	AudioCheckFr	screencolorblue	0	-1	162
block	AudioCheckFr	screencolorgreen	0	-1	163
block	AudioCheckFr	screencolorred	0	-1	164
block	AudioCheckFr	sdlatency	1262.8819884164422546746	-1	165
block	AudioCheckFr	selectedcount	0	-1	168
block	AudioCheckFr	showmousecursor	0	-1	174
block	AudioCheckFr	sumlatency	6767	-1	188
block	AudioCheckFr	timeout	0	-1	199
block	AudioCheckFr	totalcorrectcount	0	-1	202
block	AudioCheckFr	totalcount	1	-1	203
block	AudioCheckFr	totalerrorcount	4	-1	204
block	AudioCheckFr	totalinwindowcount	0	-1	205
block	AudioCheckFr	totalmaxlatency	2965	-1	206
block	AudioCheckFr	totalmeanlatency	1691.75	-1	207
block	AudioCheckFr	totalmedianlatency	1901	-1	208
block	AudioCheckFr	totalminlatency	0	-1	209
block	AudioCheckFr	totalnumcorrect	0	-1	211
block	AudioCheckFr	totalnuminwindow	0	-1	212
block	AudioCheckFr	totalpercentcorrect	0	-1	213
block	AudioCheckFr	totalpercentinwindow	0	-1	214
block	AudioCheckFr	totalsdlatency	1262.8819884164422546746	-1	215
block	AudioCheckFr	totalsumlatency	6767	-1	216
block	AudioCheckFr	totaltrialcount	4	-1	217
block	AudioCheckFr	totalvarlatency	1594870.9166666667442768812	-1	218
block	AudioCheckFr	trialcount	4	-1	220
block	AudioCheckFr	trialscount	3	-1	222
block	AudioCheckFr	typename	block	-1	223
block	AudioCheckFr	unselectedcount	0	-1	224
