date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
121412	12:07:01	1	Language	Language	0	French	12037	0	0	12:07:01	12115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	12:07:01	1	Session	Session	0	3mo	1637	0	0	12:07:01	13808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	12:07:01	1	HandFr	HandFr	0	RightFr	2541	0	0	12:07:01	16407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	12:07:01	1	AudioCheckFr	WordsFr	0	0	0	0	0	12:07:01	27812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	12:07:01	1	practice	choice	0	R	5800	0	0	12:07:01	86794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	-2	R	0	0	0	5901	0	0	80893	86794
121412	12:07:01	1	practice	choice	0	B	735	0	0	12:07:01	88715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	-1	R3B	0	0	0	5901	0	0	87955	88714
121412	12:07:01	1	practice	feedback	0	0	2000	0	0	12:07:01	91878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	R3B1	1	3	3	5901	3073	8974	87955	88714
121412	12:07:01	1	test	choice	0	R	2447	0	0	12:07:01	107186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	-2	R	0	0	0	2497	0	0	104689	107186
121412	12:07:01	1	test	choice	0	G	1023	0	0	12:07:01	109561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	-1	R3G	0	0	0	2497	0	0	108522	109561
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	116165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	R3G2	1	3	3	2497	6968	9465	108522	109561
121412	12:07:01	1	test	choice	0	B	23771	0	0	12:07:01	140976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	-2	B	0	0	3	23805	0	0	117171	140976
121412	12:07:01	1	test	choice	0	R	1412	0	0	12:07:01	144536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	-1	B3R	0	0	3	23805	0	0	143104	144536
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	148026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	0	B3R2	1	3	6	23805	5040	28845	143104	144536
121412	12:07:01	1	test	choice	0	B	2966	0	0	12:07:01	152023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	-3	B	0	0	6	2994	0	0	149029	152023
121412	12:07:01	1	test	choice	0	R	1038	0	0	12:07:01	154215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	1	-2	B3R	0	0	6	2994	0	0	153160	154215
121412	12:07:01	1	test	choice	0	B	725	0	0	12:07:01	156809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	-1	B3R2B	0	0	6	2994	0	0	156057	156809
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	159827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	3	0	B3R2B1	1	3	9	2994	5793	8787	156057	156809
