date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
062912	15:27:53	789689	Language	Language	0	French	1961	0	0	15:27:53	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	Session	Session	0	Baseline	938	0	0	15:27:53	3291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	HandFr	HandFr	0	RightFr	846	0	0	15:27:53	4222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	AudioCheckFr	WordsFr	0	0	0	0	0	15:27:53	10377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	CubeFr	CubeFr	1	1Cube	1435	0	0	15:27:53	12365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	blank.simpleFr	2	0	1987	1	0	15:27:53	15964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	pm.simpleFr	2	57	325	0	0	15:27:53	16324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	blank.simpleFr	2	0	1587	1	0	15:27:53	18145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	pm.simpleFr	2	57	274	0	0	15:27:53	18496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	blank.simpleFr	2	0	1487	1	0	15:27:53	20122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	pm.simpleFr	2	57	320	0	0	15:27:53	20495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	blank.simpleFr	2	0	2287	1	0	15:27:53	22814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062912	15:27:53	789689	pm.simpleFrRight	pm.simpleFr	2	57	247	0	0	15:27:53	23108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
