date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
071912	12:17:01	10002	Language	Language	0	French	3395	0	0	12:17:01	3750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	Session	Session	0	3mo	983	0	0	12:17:01	4819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	HandFr	HandFr	0	RightFr	1120821	0	0	12:17:01	1125724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	AudioCheckFr	WordsFr	0	0	0	0	0	12:17:01	1151210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	CubeFr	CubeFr	1	1Cube	26411	0	0	12:17:01	1179462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	2287	1	0	12:17:01	1232414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	545	0	0	12:17:01	1233001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	2087	1	0	12:17:01	1235120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	416	0	0	12:17:01	1235573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	1787	1	0	12:17:01	1237386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	454	0	0	12:17:01	1237879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	1987	1	0	12:17:01	1239891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	330	0	0	12:17:01	1240265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	1487	1	0	12:17:01	1241784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	360	0	0	12:17:01	1242184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	2187	1	0	12:17:01	1244396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	385	0	0	12:17:01	1244823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	1887	1	0	12:17:01	1246742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	410	0	0	12:17:01	1247182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	1587	1	0	12:17:01	1248795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	469	0	0	12:17:01	1249301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	2387	1	0	12:17:01	1251713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	350	0	0	12:17:01	1252100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	1687	1	0	12:17:01	1253806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	pm.simpleFr	2	57	481	0	0	12:17:01	1254326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071912	12:17:01	10002	pm.simpleFrRight	blank.simpleFr	2	0	2487	1	0	12:17:01	1256845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
